                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4271,                 4.8569,                 4.1805,                 4.2947,                 6.8134,                 4.2478,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00013248,             0.00013248,             0.00013248
                      2,                 3.9765,                 4.3373,                 3.8227,                  3.853,                  5.585,                  3.876,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00026062,             0.00026062,             0.00026062
                      3,                 3.6127,                 3.5924,                 3.3826,                 3.4241,                 4.7431,                 3.4107,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038347,             0.00038347,             0.00038347
                      4,                 3.3513,                 3.0761,                  3.038,                 3.0991,                 4.1696,                 3.0222,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00050104,             0.00050104,             0.00050104
                      5,                 2.9992,                 2.8308,                 2.7178,                 2.7429,                 3.8072,                  2.678,                0.42348,                0.02591,                0.01755,                0.00583,                      0,                      0,                      0,                      0,                      0,                      0,             0.00061333,             0.00061333,             0.00061333
                      6,                 2.6292,                 2.5428,                 2.4221,                 2.4171,                 3.4371,                 2.3572,                0.42348,                0.02591,                0.01755,                0.00583,                      0,                      0,                      0,                      0,                      0,                      0,             0.00060097,             0.00060097,             0.00060097
                      7,                  2.322,                 2.3095,                 2.1604,                 2.1607,                 3.1332,                 2.1055,                0.42348,                0.02591,                0.01755,                0.00583,                      0,                      0,                      0,                      0,                      0,                      0,             0.00060097,             0.00060097,             0.00060097
                      8,                 2.1174,                 2.1597,                 1.9735,                 2.0028,                 2.9623,                 1.9379,                0.42348,                0.02591,                0.01755,                0.00583,                      0,                      0,                      0,                      0,                      0,                      0,             0.00058776,             0.00058776,             0.00058776
                      9,                 2.0022,                 2.0839,                 1.8606,                 1.9225,                 2.8173,                 1.8286,                0.42348,                0.02591,                0.01755,                0.00583,                      0,                      0,                      0,                      0,                      0,                      0,             0.00057455,             0.00057455,             0.00057455
                     10,                 1.9023,                 1.9911,                 1.7806,                 1.8471,                 2.6964,                  1.751,                0.69098,                  0.098,                0.09103,                0.04927,                      0,                      0,                      0,                      0,                      0,                      0,             0.00056135,             0.00056135,             0.00056135
                     11,                 1.8537,                 1.9424,                 1.7107,                 1.7909,                 2.6348,                 1.6836,                0.69098,                  0.098,                0.09103,                0.04927,                      0,                      0,                      0,                      0,                      0,                      0,             0.00054814,             0.00054814,             0.00054814
                     12,                 1.7963,                 1.8916,                 1.6541,                 1.7473,                 2.5523,                  1.643,                0.69098,                  0.098,                0.09103,                0.04927,                      0,                      0,                      0,                      0,                      0,                      0,             0.00053493,             0.00053493,             0.00053493
                     13,                 1.7249,                 1.8239,                 1.6071,                  1.698,                 2.4667,                 1.5985,                0.69098,                  0.098,                0.09103,                0.04927,                      0,                      0,                      0,                      0,                      0,                      0,             0.00052173,             0.00052173,             0.00052173
                     14,                  1.659,                 1.8011,                 1.5558,                 1.6286,                 2.4274,                 1.5468,                0.69098,                  0.098,                0.09103,                0.04927,                      0,                      0,                      0,                      0,                      0,                      0,             0.00050852,             0.00050852,             0.00050852
                     15,                 1.6136,                 1.7453,                 1.5161,                 1.5997,                 2.3605,                 1.5133,                0.40587,                0.16486,                0.12191,                0.07289,                      0,                      0,                      0,                      0,                      0,                      0,             0.00049531,             0.00049531,             0.00049531
                     16,                   1.58,                 1.7204,                 1.4799,                 1.5592,                  2.322,                  1.476,                0.40587,                0.16486,                0.12191,                0.07289,                      0,                      0,                      0,                      0,                      0,                      0,             0.00048211,             0.00048211,             0.00048211
                     17,                 1.5605,                 1.6827,                 1.4538,                 1.5509,                 2.2745,                 1.4426,                0.40587,                0.16486,                0.12191,                0.07289,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004689,              0.0004689,              0.0004689
                     18,                 1.5415,                 1.6862,                 1.4359,                  1.537,                 2.2706,                 1.4314,                0.40587,                0.16486,                0.12191,                0.07289,                      0,                      0,                      0,                      0,                      0,                      0,             0.00045569,             0.00045569,             0.00045569
                     19,                 1.5218,                 1.6798,                 1.4194,                 1.5169,                 2.2559,                 1.4136,                0.40587,                0.16486,                0.12191,                0.07289,                      0,                      0,                      0,                      0,                      0,                      0,             0.00044249,             0.00044249,             0.00044249
                     20,                 1.4862,                 1.6267,                 1.3834,                 1.4909,                 2.1842,                 1.3786,                0.49862,                0.17647,                0.16564,                0.09984,                      0,                      0,                      0,                      0,                      0,                      0,             0.00042928,             0.00042928,             0.00042928
                     21,                 1.4564,                  1.581,                 1.3595,                 1.4632,                 2.1357,                   1.36,                0.49862,                0.17647,                0.16564,                0.09984,                      0,                      0,                      0,                      0,                      0,                      0,             0.00041607,             0.00041607,             0.00041607
                     22,                 1.4597,                 1.5934,                 1.3542,                 1.4818,                 2.1401,                 1.3542,                0.49862,                0.17647,                0.16564,                0.09984,                      0,                      0,                      0,                      0,                      0,                      0,             0.00040287,             0.00040287,             0.00040287
                     23,                 1.4184,                 1.5554,                 1.3266,                 1.4409,                  2.095,                 1.3294,                0.49862,                0.17647,                0.16564,                0.09984,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038966,             0.00038966,             0.00038966
                     24,                 1.4069,                 1.5214,                 1.3114,                 1.4376,                   2.06,                 1.3156,                0.49862,                0.17647,                0.16564,                0.09984,                      0,                      0,                      0,                      0,                      0,                      0,             0.00037645,             0.00037645,             0.00037645
                     25,                 1.3839,                  1.509,                 1.3078,                 1.4015,                 2.0532,                 1.3114,                0.55275,                0.13487,                0.13604,                0.08225,                      0,                      0,                      0,                      0,                      0,                      0,             0.00036325,             0.00036325,             0.00036325
                     26,                 1.3538,                 1.4908,                 1.2921,                 1.3992,                 2.0186,                 1.3004,                0.55275,                0.13487,                0.13604,                0.08225,                      0,                      0,                      0,                      0,                      0,                      0,             0.00035004,             0.00035004,             0.00035004
                     27,                 1.3591,                 1.4849,                 1.2734,                 1.3965,                 2.0075,                 1.2794,                0.55275,                0.13487,                0.13604,                0.08225,                      0,                      0,                      0,                      0,                      0,                      0,             0.00033683,             0.00033683,             0.00033683
                     28,                 1.3578,                 1.4639,                 1.2573,                 1.3947,                 1.9893,                 1.2629,                0.55275,                0.13487,                0.13604,                0.08225,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032363,             0.00032363,             0.00032363
                     29,                 1.3196,                 1.4497,                 1.2543,                 1.3556,                 1.9602,                 1.2546,                0.55275,                0.13487,                0.13604,                0.08225,                      0,                      0,                      0,                      0,                      0,                      0,             0.00031042,             0.00031042,             0.00031042
                     30,                 1.2936,                 1.4324,                 1.2447,                 1.3515,                 1.9289,                 1.2507,                0.58071,                0.22197,                0.21257,                0.13499,                      0,                      0,                      0,                      0,                      0,                      0,             0.00029722,             0.00029722,             0.00029722
                     31,                 1.3035,                 1.4194,                 1.2371,                 1.3398,                  1.917,                 1.2394,                0.58071,                0.22197,                0.21257,                0.13499,                      0,                      0,                      0,                      0,                      0,                      0,             0.00028401,             0.00028401,             0.00028401
